,Rank,Title,Gross Income,Max Theaters,Opening Earnings,Opening Num Theaters,Release Dates,Studio
0,1,High School Musical 3: Senior Year,"$90,559,416","3,626","$42,030,184","3,626","Oct 24, 2008",Walt Disney Studios Motion Pictures
1,2,Hannah Montana: The Movie,"$79,576,189","3,231","$32,324,487","3,231","Apr 10, 2009",Walt Disney Studios Motion Pictures
2,3,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,"$65,281,781",687,"$31,117,834",687,"Feb 1, 2008",Walt Disney Studios Motion Pictures
3,4,The Lizzie McGuire Movie,"$42,734,455","2,825","$17,338,755","2,825","May 2, 2003",Walt Disney Studios Motion Pictures
4,5,Recess: School's Out,"$36,706,141","2,630","$10,065,873","2,630","Feb 16, 2001",Walt Disney Studios Motion Pictures
5,6,Doug's 1st Movie,"$19,440,089","2,268","$4,470,489","2,268","Mar 26, 1999",Walt Disney Studios Motion Pictures
6,7,Jonas Brothers: The 3D Concert Experience,"$19,162,740","1,276","$12,510,374","1,276","Feb 27, 2009",Walt Disney Studios Motion Pictures
7,8,Teacher's Pet,"$6,491,969","2,027","$2,461,252","2,027","Jan 16, 2004",Walt Disney Studios Motion Pictures
