,Rank,Title,Gross Income,Max Theaters,Opening Earnings,Opening Num Theaters,Release Dates,Studio
0,1,Planes,"$90,288,712","3,716","$22,232,291","3,716","Aug 9, 2013",Walt Disney Studios Motion Pictures
1,2,Planes: Fire & Rescue,"$59,165,787","3,839","$17,509,407","3,839","Jul 18, 2014",Walt Disney Studios Motion Pictures
2,3,The Jungle Book 2,"$47,901,582","2,815","$11,441,733","2,815","Feb 14, 2003",Walt Disney Studios Motion Pictures
3,4,The Tigger Movie,"$45,554,533","2,818","$9,427,532","2,818","Feb 11, 2000",Walt Disney Studios Motion Pictures
4,5,A Goofy Movie,"$35,348,597","2,176","$6,129,557","2,176","Apr 7, 1995",Walt Disney Studios Motion Pictures
5,6,Piglet's Big Movie,"$23,103,423","2,084","$6,097,758","2,084","Mar 21, 2003",Walt Disney Studios Motion Pictures
6,7,DuckTales the Movie: Treasure of the Lost Lamp,"$18,115,724","1,558","$3,870,366","1,558","Aug 3, 1990",Walt Disney Studios Motion Pictures
7,8,Pooh's Heffalump Movie,"$18,098,433","2,529","$5,805,559","2,529","Feb 11, 2005",Walt Disney Studios Motion Pictures
