,Date,Open,High,Low,Close,Adj Close,Volume
0,"Oct 18, 2024",97.01,97.54,96.05,97.36,97.36,"4,483,474"
1,"Oct 17, 2024",96.93,97.33,95.61,96.54,96.54,"9,535,800"
2,"Oct 16, 2024",93.73,96.79,93.63,96.75,96.75,"9,936,300"
3,"Oct 15, 2024",95.25,95.65,93.68,94.22,94.22,"6,535,800"
4,"Oct 14, 2024",94.18,95.19,93.80,94.97,94.97,"6,262,000"
5,"Oct 11, 2024",92.85,94.61,92.80,94.13,94.13,"8,089,100"
6,"Oct 10, 2024",93.72,93.88,92.69,92.99,92.99,"6,698,000"
7,"Oct 9, 2024",91.86,94.01,91.46,93.60,93.60,"8,654,500"
8,"Oct 8, 2024",92.52,93.74,91.69,92.51,92.51,"10,209,100"
9,"Oct 7, 2024",95.09,95.14,91.76,92.39,92.39,"11,043,600"
10,"Oct 4, 2024",94.30,95.34,93.89,95.15,95.15,"6,308,900"
11,"Oct 3, 2024",93.61,94.09,93.13,93.63,93.63,"6,180,300"
12,"Oct 2, 2024",93.59,94.58,93.59,94.15,94.15,"6,144,200"
13,"Oct 1, 2024",95.19,95.85,93.32,94.05,94.05,"10,099,200"
14,"Sep 30, 2024",96.85,97.57,95.44,96.19,96.19,"7,982,300"
15,"Sep 27, 2024",95.49,96.90,95.28,96.01,96.01,"10,155,400"
16,"Sep 26, 2024",94.46,95.79,94.18,95.20,95.20,"10,061,600"
17,"Sep 25, 2024",93.64,94.44,93.35,93.92,93.92,"8,408,200"
18,"Sep 24, 2024",93.34,93.79,92.46,93.69,93.69,"7,860,300"
19,"Sep 23, 2024",93.70,93.70,92.16,92.97,92.97,"7,338,700"
20,"Sep 20, 2024",93.20,94.01,92.82,93.75,93.75,"19,251,500"
21,"Sep 19, 2024",94.82,95.29,93.32,93.45,93.45,"10,912,400"
22,"Sep 18, 2024",93.52,94.07,92.69,93.58,93.58,"10,289,800"
23,"Sep 17, 2024",92.37,93.25,92.17,92.86,92.86,"8,193,100"
24,"Sep 16, 2024",91.10,92.37,90.95,91.85,91.85,"9,028,600"
25,"Sep 13, 2024",89.45,90.72,89.39,90.55,90.55,"7,084,200"
26,"Sep 12, 2024",88.22,89.33,88.18,89.30,89.30,"7,181,700"
27,"Sep 11, 2024",88.05,88.43,86.59,88.32,88.32,"10,779,000"
28,"Sep 10, 2024",88.33,88.89,87.98,88.40,88.40,"6,858,300"
29,"Sep 9, 2024",88.22,88.89,87.81,88.34,88.34,"8,750,200"
30,"Sep 6, 2024",88.45,89.09,87.72,87.94,87.94,"7,791,500"
31,"Sep 5, 2024",89.67,89.67,88.34,88.65,88.65,"6,234,100"
32,"Sep 4, 2024",88.95,90.02,88.82,89.25,89.25,"6,317,200"
33,"Sep 3, 2024",89.61,90.49,88.54,89.13,89.13,"8,465,500"
34,"Aug 30, 2024",89.98,90.45,89.40,90.38,90.38,"8,403,600"
35,"Aug 29, 2024",90.45,90.70,89.63,89.81,89.81,"6,181,800"
36,"Aug 28, 2024",90.33,90.62,88.76,89.49,89.49,"8,569,700"
37,"Aug 27, 2024",91.43,91.72,90.75,90.90,90.90,"7,237,400"
38,"Aug 26, 2024",90.92,91.80,90.92,91.78,91.78,"8,043,800"
39,"Aug 23, 2024",90.15,90.75,89.68,90.56,90.56,"7,369,200"
40,"Aug 22, 2024",90.99,91.38,89.70,89.92,89.92,"7,613,000"
41,"Aug 21, 2024",90.22,90.78,89.43,90.72,90.72,"7,637,600"
42,"Aug 20, 2024",90.39,90.67,89.31,89.74,89.74,"8,863,400"
43,"Aug 19, 2024",89.41,90.95,89.41,90.82,90.82,"9,723,600"
44,"Aug 16, 2024",88.96,89.67,88.34,89.30,89.30,"10,277,700"
45,"Aug 15, 2024",87.25,88.93,87.21,88.79,88.79,"12,401,000"
46,"Aug 14, 2024",86.01,86.54,85.56,86.30,86.30,"9,475,100"
47,"Aug 13, 2024",86.46,86.46,85.31,85.60,85.60,"14,615,200"
48,"Aug 12, 2024",85.86,86.38,85.48,85.95,85.95,"11,754,600"
49,"Aug 9, 2024",86.13,86.25,84.71,86.21,86.21,"16,008,400"
50,"Aug 8, 2024",85.15,86.33,83.91,85.96,85.96,"21,890,500"
51,"Aug 7, 2024",88.00,89.24,85.75,85.96,85.96,"30,581,900"
52,"Aug 6, 2024",88.23,91.91,87.96,89.97,89.97,"21,717,500"
53,"Aug 5, 2024",86.89,89.56,86.42,87.78,87.78,"19,103,200"
54,"Aug 2, 2024",92.16,92.20,89.00,89.57,89.57,"15,433,600"
55,"Aug 1, 2024",93.86,93.95,92.60,93.05,93.05,"9,263,600"
56,"Jul 31, 2024",93.79,94.84,93.64,93.69,93.69,"10,241,800"
57,"Jul 30, 2024",91.67,94.04,91.67,93.79,93.79,"9,896,100"
58,"Jul 29, 2024",90.39,92.55,90.19,92.14,92.14,"13,024,800"
59,"Jul 26, 2024",90.00,90.55,89.34,89.93,89.93,"11,301,900"
60,"Jul 25, 2024",90.08,90.50,89.21,89.21,89.21,"10,765,300"
61,"Jul 24, 2024",90.22,90.75,89.58,89.80,89.80,"11,768,500"
62,"Jul 23, 2024",90.70,91.69,89.83,90.94,90.94,"22,534,700"
63,"Jul 22, 2024",95.11,95.16,93.49,94.13,94.13,"13,377,000"
64,"Jul 19, 2024",96.82,96.82,95.44,95.74,95.74,"9,301,000"
65,"Jul 18, 2024",97.36,98.06,96.68,96.79,96.79,"7,529,400"
66,"Jul 17, 2024",98.30,98.61,96.53,97.31,97.31,"9,456,100"
67,"Jul 16, 2024",97.02,98.72,96.54,98.47,98.47,"10,755,500"
68,"Jul 15, 2024",97.33,97.49,96.60,96.87,96.87,"7,417,700"
69,"Jul 12, 2024",97.10,97.83,96.98,97.13,97.13,"6,465,700"
70,"Jul 11, 2024",97.01,97.58,96.30,96.60,96.60,"7,422,600"
71,"Jul 10, 2024",96.95,97.28,96.25,96.97,96.97,"7,761,100"
72,"Jul 9, 2024",97.47,97.53,96.15,97.05,97.05,"9,044,400"
73,"Jul 8, 2024",0.45Dividend,,,,,
74,"Jul 8, 2024",97.69,98.29,96.89,97.37,97.37,"8,167,600"
75,"Jul 5, 2024",98.31,98.31,97.58,97.99,97.54,"8,550,800"
76,"Jul 3, 2024",97.84,99.08,97.83,98.61,98.16,"5,030,000"
77,"Jul 2, 2024",97.94,97.99,96.95,97.99,97.54,"13,340,300"
78,"Jul 1, 2024",99.40,99.74,97.88,98.04,97.59,"15,299,000"
79,"Jun 28, 2024",102.02,102.58,98.38,99.29,98.83,"21,439,400"
80,"Jun 27, 2024",102.04,102.28,101.81,102.17,101.70,"8,365,200"
81,"Jun 26, 2024",101.90,102.37,101.43,102.18,101.71,"10,122,300"
82,"Jun 25, 2024",102.66,103.68,101.77,102.20,101.73,"10,343,700"
83,"Jun 24, 2024",102.25,103.08,101.91,101.98,101.51,"7,393,600"
84,"Jun 21, 2024",101.80,102.54,101.59,102.27,101.80,"14,144,900"
85,"Jun 20, 2024",100.57,101.94,100.38,101.84,101.37,"7,886,900"
86,"Jun 18, 2024",101.12,101.76,100.61,101.50,101.03,"7,044,700"
87,"Jun 17, 2024",100.98,101.92,100.62,101.52,101.05,"10,389,000"
88,"Jun 14, 2024",99.81,100.38,99.25,99.97,99.51,"7,087,600"
89,"Jun 13, 2024",100.61,101.07,99.61,100.09,99.63,"10,164,600"
90,"Jun 12, 2024",101.20,101.69,100.25,100.80,100.34,"9,041,800"
91,"Jun 11, 2024",102.64,102.88,100.74,100.87,100.41,"9,134,200"
92,"Jun 10, 2024",101.25,102.85,100.64,102.74,102.27,"7,633,100"
93,"Jun 7, 2024",100.86,102.27,100.55,101.54,101.07,"6,047,800"
94,"Jun 6, 2024",101.05,101.93,100.81,101.21,100.75,"10,294,700"
95,"Jun 5, 2024",103.00,103.08,101.03,101.50,101.03,"10,796,900"
96,"Jun 4, 2024",102.11,103.49,101.63,103.33,102.86,"7,269,100"
97,"Jun 3, 2024",104.17,104.22,102.48,102.77,102.30,"6,908,600"
98,"May 31, 2024",101.52,104.08,101.41,103.91,103.43,"14,735,800"
99,"May 30, 2024",101.14,102.07,100.97,101.70,101.23,"7,303,700"
100,"May 29, 2024",101.76,102.08,100.77,100.88,100.42,"7,376,300"
101,"May 28, 2024",101.36,102.86,100.95,102.44,101.97,"7,813,100"
102,"May 24, 2024",100.85,102.09,100.69,101.76,101.29,"6,447,600"
