,New Rank,Title,Gross Income,Max Theaters,Opening Earnings,Opening Num Theaters,Release Dates,Studio,Brand
44,45,The Amazing Spider-Man,"$262,030,663","4,318","$62,004,688","4,318","Jul 3, 2012",Sony Pictures Releasing,Marvel Comics
45,46,The Incredibles,"$261,441,092","3,933","$70,467,623","3,933","Nov 5, 2004",Walt Disney Studios Motion Pictures,Pixar
46,47,Captain America: The Winter Soldier,"$259,766,572","3,938","$95,023,721","3,938","Apr 4, 2014",Walt Disney Studios Motion Pictures,Marvel Comics
47,48,"Monsters, Inc.","$255,873,250","3,649","$62,577,067","3,649","Nov 2, 2001",Walt Disney Studios Motion Pictures,Pixar
48,49,Star Wars: Episode VI - Return of the Jedi,"$252,583,617","1,764","$23,019,618","1,764","May 25, 1983",Twentieth Century Fox,Lucasfilm
49,50,Moana,"$248,757,044","3,875","$56,631,401","3,875","Nov 23, 2016",Walt Disney Studios Motion Pictures,Walt Disney Animation Studios
50,51,Toy Story 2,"$245,852,179","3,257","$300,163","3,257","Nov 19, 1999",Walt Disney Studios Motion Pictures,Pixar
51,52,Cars,"$244,082,982","3,988","$60,119,509","3,988","Jun 9, 2006",Walt Disney Studios Motion Pictures,Pixar
52,53,Brave,"$237,283,207","4,164","$66,323,594","4,164","Jun 22, 2012",Walt Disney Studios Motion Pictures,Pixar
53,54,X-Men: The Last Stand,"$234,362,462","3,714","$102,750,665","3,714","May 26, 2006",Twentieth Century Fox,Marvel Comics
54,55,X-Men: Days of Future Past,"$233,921,534","4,001","$90,823,660","4,001","May 23, 2014",Twentieth Century Fox,Marvel Comics
55,56,Doctor Strange,"$232,641,920","3,882","$85,058,311","3,882","Nov 4, 2016",Walt Disney Studios Motion Pictures,Marvel Comics
56,57,Logan,"$226,277,068","4,071","$88,411,916","4,071","Mar 3, 2017",Twentieth Century Fox,Marvel Comics
57,58,Shang-Chi and the Legend of the Ten Rings,"$224,543,292","4,300","$75,388,688","4,300","Sep 3, 2021",Walt Disney Studios Motion Pictures,Marvel Comics
58,59,WALL·E,"$223,808,164","3,992","$63,087,526","3,992","Jun 27, 2008",Walt Disney Studios Motion Pictures,Pixar
59,60,Big Hero 6,"$222,527,828","3,773","$56,215,889","3,773","Nov 7, 2014",Walt Disney Studios Motion Pictures,Walt Disney Animation Studios
60,61,Big Hero 6,"$222,527,828","3,773","$56,215,889","3,773","Nov 7, 2014",Walt Disney Studios Motion Pictures,Marvel Comics
61,62,Ant-Man and the Wasp,"$216,648,740","4,206","$75,812,205","4,206","Jul 6, 2018",Walt Disney Studios Motion Pictures,Marvel Comics
62,63,X2: X-Men United,"$214,949,694","3,749","$85,558,731","3,749","May 2, 2003",Twentieth Century Fox,Marvel Comics
63,64,Solo: A Star Wars Story,"$213,767,512","4,381","$84,420,489","4,381","May 25, 2018",Walt Disney Studios Motion Pictures,Lucasfilm
64,65,Venom: Let There Be Carnage,"$213,550,366","4,225","$90,033,210","4,225","Oct 1, 2021",Sony Pictures Releasing,Marvel Comics
65,66,Venom,"$213,515,506","4,250","$80,255,756","4,250","Oct 5, 2018",Sony Pictures Releasing,Marvel Comics
66,67,Raiders of the Lost Ark,"$212,222,025","1,078","$8,305,823","1,078","Jun 12, 1981",Paramount Pictures,Lucasfilm
67,68,Coco,"$210,460,015","3,987","$50,802,605","3,987","Nov 22, 2017",Walt Disney Studios Motion Pictures,Pixar
68,69,Star Wars: Episode V - The Empire Strikes Back,"$209,398,025","1,278","$4,910,483","1,278","May 21, 1980",Twentieth Century Fox,Lucasfilm
69,70,Ratatouille,"$206,445,654","3,940","$47,027,395","3,940","Jun 29, 2007",Walt Disney Studios Motion Pictures,Pixar
70,71,Thor: The Dark World,"$206,362,140","3,841","$85,737,841","3,841","Nov 8, 2013",Walt Disney Studios Motion Pictures,Marvel Comics
