,New Rank,Title,Gross Income,Max Theaters,Opening Earnings,Opening Num Theaters,Release Dates,Studio,Brand
195,196,Star Wars: Episode V - The Empire Strikes Back2020 Re-release,"$2,482,000","2,097","$611,000","2,097","Jul 10, 2020",Walt Disney Studios Motion Pictures,Lucasfilm
196,197,Inhumans,"$1,521,787",393,"$1,135,440",393,"Sep 1, 2017",IMAX,Marvel Comics
197,198,Turning Red,"$1,399,001","1,560","$578,047","1,560","Feb 9, 2024",Walt Disney Studios Motion Pictures,Pixar
198,199,Rogue One: A Star Wars Story2022 Re-release,"$1,362,667",255,"$1,060,459",255,"Aug 26, 2022",Walt Disney Studios Motion Pictures,Lucasfilm
199,200,Luca,"$1,324,302","1,390",-,"1,390","Jun 18, 2021",Walt Disney Studios Motion Pictures,Pixar
200,201,Radioland Murders,"$1,316,865",844,"$835,570",844,"Oct 21, 1994",Universal Pictures,Lucasfilm
201,202,Labyrinth2018 Re-release,"$993,336",685,"$558,857",685,"Apr 29, 2018",Fathom Events,Lucasfilm
202,203,Soul,"$946,154","1,360","$431,840","1,360","Jan 12, 2024",Walt Disney Studios Motion Pictures,Pixar
203,204,Toy Story2020 Re-release,"$727,000","2,102","$505,000","2,102","Nov 6, 2020",Walt Disney Studios Motion Pictures,Pixar
204,205,"Monsters, Inc.2020 Re-release","$726,000","1,875","$494,000","1,875","Oct 23, 2020",Walt Disney Studios Motion Pictures,Pixar
205,206,Guardians of the Galaxy2020 Re-release,"$542,000","1,560","$406,000","1,560","Nov 13, 2020",Walt Disney Studios Motion Pictures,Marvel Comics
206,207,Mishima: A Life in Four Chapters,"$437,547",14,-,14,"Sep 13, 1985",Warner Bros.,Lucasfilm
207,208,Iron Man2020 Re-release,"$430,000",462,"$430,000",462,"Jul 17, 2020",Walt Disney Pictures,Marvel Comics
208,209,Black Panther2020 Re-release,"$367,000",421,"$367,000",421,"Jul 10, 2020",Walt Disney Pictures,Marvel Comics
209,210,Frozen2020 Re-release,"$215,000","1,367","$120,000","1,367","Nov 25, 2020",Walt Disney Studios Motion Pictures,Walt Disney Animation Studios
210,211,Tucker: The Man and His Dream2022 Re-release,"$3,475",8,"$1,728",8,"Sep 16, 2022",Rialto Distribution,Lucasfilm
