,Rank,Title,Gross Income,Max Theaters,Opening Earnings,Opening Num Theaters,Release Dates,Studio
52,53,Fantastic Four: Rise of the Silver Surfer,"$131,921,738","3,963","$58,051,684","3,963","Jun 15, 2007",Twentieth Century Fox
53,54,Ghost Rider,"$115,802,596","3,620","$45,388,836","3,620","Feb 16, 2007",Sony Pictures Releasing
54,55,Daredevil,"$102,543,518","3,474","$40,310,419","3,474","Feb 14, 2003",Twentieth Century Fox
55,56,The Marvels,"$84,500,223","4,030","$46,110,859","4,030","Nov 10, 2023",Walt Disney Studios Motion Pictures
56,57,Blade II,"$82,348,319","2,707","$32,528,016","2,707","Mar 22, 2002",New Line Cinema
57,58,Morbius,"$73,865,530","4,268","$39,005,895","4,268","Apr 1, 2022",Columbia Pictures
58,59,Blade,"$70,087,718","2,389","$17,073,856","2,389","Aug 21, 1998",New Line Cinema
59,60,X-Men: Dark Phoenix,"$65,845,974","3,721","$32,828,348","3,721","Jun 7, 2019",Twentieth Century Fox
60,61,Fantastic Four,"$56,117,548","4,004","$25,685,737","4,004","Aug 7, 2015",Twentieth Century Fox
61,62,Blade: Trinity,"$52,411,906","2,912","$16,100,000","2,912","Dec 8, 2004",New Line Cinema
62,63,Ghost Rider: Spirit of Vengeance,"$51,774,002","3,174","$22,115,334","3,174","Feb 17, 2012",Sony Pictures Releasing
63,64,The Punisher,"$33,810,189","2,649","$14,000,000","2,649","Apr 16, 2004",Lionsgate
64,65,Elektra,"$24,409,722","3,204","$12,804,793","3,204","Jan 14, 2005",Twentieth Century Fox
65,66,The New Mutants,"$23,852,659","2,754","$7,037,017","2,754","Aug 28, 2020",20th Century Studios
66,67,Howard the Duck,"$16,295,774","1,563","$5,070,136","1,563","Aug 1, 1986",Universal Pictures
67,68,Spider-Man: No Way Home2022 Re-release,"$9,321,593","3,935","$5,403,230","3,935","Sep 2, 2022",Sony Pictures Releasing
68,69,Punisher: War Zone,"$8,050,977","2,508","$4,271,451","2,508","Dec 5, 2008",Lionsgate
69,70,Spider-Man/Men in Black IIDouble Bill,"$6,632,970","2,078","$2,111,862","2,078","Sep 6, 2002",Sony Pictures Releasing
70,71,Once Upon a Deadpool2018 Re-release,"$6,100,309","1,566","$2,683,200","1,566","Dec 12, 2018",Twentieth Century Fox
71,72,Columbia 100th Anniversary SeriesColumbia 100th Anniversary Series,"$6,013,515",466,"$18,856",466,"Apr 15, 2024",Sony Pictures Releasing
72,72,Columbia 100th Anniversary SeriesColumbia 100th Anniversary Series,"$6,013,515",466,"$18,856",466,"Apr 15, 2024",Sony Pictures Releasing
73,72,Columbia 100th Anniversary SeriesColumbia 100th Anniversary Series,"$6,013,515",466,"$18,856",466,"Apr 15, 2024",Sony Pictures Releasing
74,72,Columbia 100th Anniversary SeriesColumbia 100th Anniversary Series,"$6,013,515",466,"$18,856",466,"Apr 15, 2024",Sony Pictures Releasing
75,72,Columbia 100th Anniversary SeriesColumbia 100th Anniversary Series,"$6,013,515",466,"$18,856",466,"Apr 15, 2024",Sony Pictures Releasing
76,72,Columbia 100th Anniversary SeriesColumbia 100th Anniversary Series,"$6,013,515",466,"$18,856",466,"Apr 15, 2024",Sony Pictures Releasing
77,72,Columbia 100th Anniversary SeriesColumbia 100th Anniversary Series,"$6,013,515",466,"$18,856",466,"Apr 15, 2024",Sony Pictures Releasing
78,72,Columbia 100th Anniversary SeriesColumbia 100th Anniversary Series,"$6,013,515",466,"$18,856",466,"Apr 15, 2024",Sony Pictures Releasing
79,80,Inhumans,"$1,521,787",393,"$1,135,440",393,"Sep 1, 2017",IMAX
80,81,Guardians of the Galaxy2020 Re-release,"$542,000","1,560","$406,000","1,560","Nov 13, 2020",Walt Disney Studios Motion Pictures
81,82,Iron Man2020 Re-release,"$430,000",462,"$430,000",462,"Jul 17, 2020",Walt Disney Pictures
82,83,Black Panther2020 Re-release,"$367,000",421,"$367,000",421,"Jul 10, 2020",Walt Disney Pictures
